"","Effect","F","v1","v2","ncp","Rsq","upper.CL","lower.CL"
"1","Model",26.0540405323776,10,339,260.540405323776,0.434566883249634,0.511312029725735,0.373262833217058
"2","poly(Prec_Varieb, 2)1",47.8755742231312,1,339,47.8755742231312,0.123749281197884,0.192815919758426,0.0668488145179997
"3","poly(Prec_Varieb, 2)2",13.2327281181753,1,339,13.2327281181753,0.0375681390791591,0.0859834742091579,0.00820728474388813
"4","poly(pca1_clima, 2)2",44.1988745443764,1,339,44.1988745443764,0.115341869406399,0.183240116485995,0.0602128614742286
"5","poly(pca1_clima, 2)1",11.7339226437242,1,339,11.7339226437242,0.0334553400346265,0.080055797536323,0.0062785154453607
"6","poly(cover_litter, 2)2",3.954795100427,1,339,3.954795100427,0.011531534642252,0.0445162145029332,0.000144301587493672
"7","grazing_intencity",3.38192432436139,1,339,3.38192432436139,0.00987763688470149,0.0413253622883514,8.34562958048849e-05
"8","poly(cover_litter, 2)1",0.844990694896471,1,339,0.844990694896471,0.00248640032377314,0.0241210799746747,6.75249406131343e-06
"9","pH",0.36364022828756,1,339,0.36364022828756,0.00107153561896891,0.0193695054919784,4.17346328986631e-06
"10","mowing1",0.25108260349701,1,339,0.25108260349701,0.000740108481217332,0.0180605531984391,3.72924037408762e-06
"11","Corg_percent",0.0733982352306064,1,339,0.0733982352306064,0.000216467100081047,0.0157697225875685,3.1221820734468e-06
