"","predictor","response","Chisq_M1","Chisq_M2","Df_M1","Df_M2","Pr(>Chisq)_M1","Pr(>Chisq)_M2"
"1","total_cover_10","alpha_10_div",18.1978374015625,17.5013650982206,1,1,1.99104787716591e-05,2.87101468732058e-05
"2","poly(pca1_clima, 2)","alpha_10_div",8.01291431881387,3.71521454722988,2,2,0.0181977529026951,0.156045558357509
"3","poly(Corg_percent, 2)","alpha_10_div",13.1564438961581,10.7998173386501,2,2,0.0013903191580624,0.00451699346383634
"4","pH","alpha_10_div",1.45971955769052,1.26409770641288,1,1,0.226974747320013,0.260876873531574
"5","poly(cover_litter, 2)","alpha_10_div",8.13392173921676,7.85694582135987,2,2,0.0171293678639202,0.0196736931118313
"6","grazing_intencity","alpha_10_div",0.0033971747390589,0.000436999170546188,1,1,0.953521386465077,0.983321816889026
"7","mowing","alpha_10_div",0.0435003944170192,0.225173546906681,1,1,0.83478589811412,0.635125896777523
"8","poly(Prec_Varieb, 2)","alpha_10_div",NA,4.65975226668988,NA,2,NA,0.0973077995347088
"9","total_cover_100","gamma_100_div",19.8176585864492,20.0636607535792,1,1,8.51919879351611e-06,7.49065387103074e-06
"10","poly(pca1_clima, 2)","gamma_100_div",5.47493217373351,0.842530020769902,2,2,0.0647341700123008,0.656216174262987
"11","poly(Corg_percent, 2)","gamma_100_div",11.2709504088572,9.31212797011204,2,2,0.00356898083468384,0.00950379596372078
"12","poly(pH, 2)","gamma_100_div",7.61635756241708,8.05351589283175,2,2,0.0221885523900185,0.0178320487970261
"13","poly(cover_litter, 2)","gamma_100_div",19.0058855192778,19.3860073476224,2,2,7.46318827283465e-05,6.17137577486261e-05
"14","grazing_intencity","gamma_100_div",0.0167531039819053,0.0102015924956959,1,1,0.897014418145747,0.919548131805042
"15","mowing","gamma_100_div",0.844656816454381,1.07071594769859,1,1,0.358068306426677,0.300783786176184
"16","poly(Prec_Varieb, 2)","gamma_100_div",NA,6.00867020492972,NA,2,NA,0.0495717034767806
"17","total_cover_100","beta_100_div",1.0195029271197,1.15975647849173,1,1,0.312636945245629,0.281516050370056
"18","poly(pca1_clima, 2)","beta_100_div",1.24293591571855,0.0511112435496907,2,2,0.537155337154453,0.97476815912278
"19","poly(Corg_percent, 2)","beta_100_div",1.04675891648693,1.04502048867134,2,2,0.592514781714047,0.593030027699935
"20","poly(pH, 2)","beta_100_div",12.5453478285539,13.6590752388607,2,2,0.00188717568470541,0.00108135800095474
"21","poly(cover_litter, 2)","beta_100_div",7.19346567095218,4.76898652259994,2,2,0.027413139534562,0.0921356564545711
"22","grazing_intencity","beta_100_div",1.43434357202727,0.289942890370199,1,1,0.2310568712484,0.590257129786626
"23","mowing","beta_100_div",0.0576538969450603,0.0805883423594581,1,1,0.810243230832641,0.776501685271929
"24","poly(Prec_Varieb, 2)","beta_100_div",NA,8.90287635866924,NA,2,NA,0.0116617831686719
