"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",3.12578262446196,0.293490388349907,10.6503747602641,1.7366450012737e-26
"poly(pca1_clima, 2)1",0.597071261901278,1.25303421789025,0.476500364775813,0.633717947533051
"poly(pca1_clima, 2)2",-2.54053975248429,1.07184846031638,-2.37024154677088,0.0177764674939447
"poly(Corg_percent, 2)1",1.03563671310697,0.540828186085482,1.91490891146579,0.0555041211422093
"poly(Corg_percent, 2)2",-1.56777965821224,0.433770573199329,-3.61430616800233,0.000301153018869767
"pH",0.0228513563997087,0.0346724853595572,0.659063120590803,0.509855236554554
"poly(cover_litter, 2)1",0.26153697318088,0.366526570012471,0.713555290608213,0.47550221226375
"poly(cover_litter, 2)2",-0.908819105367395,0.314493676440542,-2.88978498917201,0.00385505398792486
"grazing_intencity",0.00848717289937856,0.0318635060010636,0.266360296293046,0.789961739961408
"mowing1",-0.0155894045214439,0.132530610877986,-0.117628707950318,0.906361857198231
