"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",1.17817806165218,0.0184841394904078,8.24560863152783,63.7399464694358,2.12007557414106e-12
"poly(pca1_clima, 2)1",-0.00767725104789412,0.32543616741434,71.3916551397754,-0.0235906509989087,0.981244943560296
"poly(pca1_clima, 2)2",-0.503432993426454,0.215245093665228,21.3195283462619,-2.33888254944127,0.0291497171423966
"poly(pH, 2)1",0.174274838881667,0.280527792249281,48.1753324480764,0.621239120317905,0.537370884434786
"poly(pH, 2)2",0.135433435082699,0.210280131555545,104.907646059396,0.644061966676698,0.520940911689715
"poly(Corg_percent, 2)1",0.210822166710497,0.214866417092259,107.438563037945,0.981177838600877,0.328709365179475
"poly(Corg_percent, 2)2",0.499166081560303,0.169560244175353,156.627125015373,2.9438863100721,0.00373485033146439
"poly(cover_litter, 2)1",0.198377255931858,0.184034481048243,101.374672369534,1.07793525866413,0.283620957787134
"poly(cover_litter, 2)2",-0.573752357494314,0.174845106508405,135.608819761031,-3.28148936479805,0.00131303123046438
"grazing_intencity",-0.00148694676878197,0.01512788175108,161.800081258245,-0.0982918027288131,0.921822249427418
"mowing1",-0.0616888474244807,0.0625324356043179,155.517235111603,-0.986509590236096,0.325415444619315
